"year","county","crop_category","crop_type","area_in_ha","volume_in_mt","value_in_million_ksh"
2012,"Nyandarua","Exotic Vegetables","Potatoes",25175,347731,"3334"
2012,"Elgeyo Marakwet","Exotic Vegetables","Potatoes",15844,259047,"4126"
2012,"Meru","Exotic Vegetables","Potatoes",10842,133704,"3332"
2012,"Nakuru","Exotic Vegetables","Potatoes",13675,252751,"2336"
2012,"Kiambu","Exotic Vegetables","Potatoes",12582,116155,"2005"
2012,"Bomet","Exotic Vegetables","Potatoes",2847,43600,"1020"
2012,"Nyeri","Exotic Vegetables","Potatoes",8067,133446,"1463"
2012,"Narok","Exotic Vegetables","Potatoes",5022,38465,"1754"
2012,"Bungoma","Exotic Vegetables","Potatoes",7110,86340,"402"
2012,"Murang'a","Exotic Vegetables","Potatoes",6423,35150,"683"
2012,"Baringo","Exotic Vegetables","Potatoes",1717,25924,"516"
2012,"Uasin Gishu","Exotic Vegetables","Potatoes",913,13531,"199"
2012,"Others","Exotic Vegetables","Potatoes",3702,84210,"1000"
2012,"Kajiado","Exotic Vegetables","Tomatoes",1603,35937,"921"
2012,"Bungoma","Exotic Vegetables","Tomatoes",1344,39232,"1221"
2012,"Kirinyaga","Exotic Vegetables","Tomatoes",1903,59464,"1159"
2012,"Makueni","Exotic Vegetables","Tomatoes",431,17582,"651"
2012,"Kiambu","Exotic Vegetables","Tomatoes",964,18029,"811"
2012,"Trans Nzoia","Exotic Vegetables","Tomatoes",480,9270,"129"
2012,"Machakos","Exotic Vegetables","Tomatoes",547,10335,"222"
2012,"Kisii","Exotic Vegetables","Tomatoes",876,15590,"331"
2012,"Nakuru","Exotic Vegetables","Tomatoes",509,6745,"602"
2012,"Kisumu","Exotic Vegetables","Tomatoes",822,12219,"347"
2012,"Others","Exotic Vegetables","Tomatoes",9706,139702,"3992"
2012,"Meru","Exotic Vegetables","Snow Peas",851,5055,"309"
2012,"Nyandarua","Exotic Vegetables","Snow Peas",368,2627,"106"
2012,"Laikipia","Exotic Vegetables","Snow Peas",18,54,"2"
2012,"Taita Taveta","Exotic Vegetables","Snow Peas",214,4336,"71.9"
2012,"Kiambu","Exotic Vegetables","Snow Peas",124,1092,"20.4"
2012,"Narok","Exotic Vegetables","Snow Peas",NA,NA,NA
2012,"Baringo","Exotic Vegetables","Snow Peas",25,213,"21.3"
2012,"Nyeri","Exotic Vegetables","Snow Peas",17,81,"29.8"
2012,"Trans Nzoia","Exotic Vegetables","Snow Peas",31,46,"1"
2012,"Nakuru","Exotic Vegetables","Snow Peas",8,19,"2"
2012,"Others","Exotic Vegetables","Snow Peas",46,218,"7"
2012,"Kirinyaga","Exotic Vegetables","French Beans",1813,51148,"2455.58"
2012,"Murang'a","Exotic Vegetables","French Beans",861,3848,"1185.28"
2012,"Meru","Exotic Vegetables","French Beans",326,16615,"616.63"
2012,"Machakos","Exotic Vegetables","French Beans",329,1760,"75.22"
2012,"Narok","Exotic Vegetables","French Beans",105,1575,"94.5"
2012,"Kiambu","Exotic Vegetables","French Beans",221,4149,"55.95"
2012,"Taita Taveta","Exotic Vegetables","French Beans",48,1191,"42.23"
2012,"Embu","Exotic Vegetables","French Beans",58,746,"25.85"
